#LatticeConstant Energy(hartree)
1.5 0
1.505 0
1.51 0
1.515 0
1.52 0
1.525 0
1.53 0
1.535 0
1.54 0
1.545 0
1.55 0
1.555 0
1.56 0
1.565 0
1.57 0
1.575 0
1.58 0
1.585 0
1.59 0
1.595 0
1.600000 -11.599985159165
1.605 0
1.61 0
1.615 0
1.62 0
1.625 0
1.63 0
1.635 0
1.6400000000000001 0
1.645 0
1.65 0
1.655 -11.637227265803
1.66 0
1.665 0
1.67 0
1.675 0
1.68 0
1.685 0
1.69 0
1.695 0
1.700000 -11.655510296074
1.705 0
1.71 0
1.715 0
1.72 0
1.725 0
1.73 0
1.7349999999999999 0
1.74 0
1.745 0
1.75 0
1.755 0
1.76 0
1.7650000000000001 0
1.77 0
1.775 0
1.78 0
1.785 0
1.79 0
1.795 0
1.800000 -11.664748351310
1.805 0
1.81 0
1.815 0
1.82 0
1.825 0
1.83 0
1.835 0
1.84 0
1.845 0
1.85 0
1.855 0
1.8599999999999999 0
1.865 0
1.87 0
1.875 0
1.88 0
1.885 0
1.8900000000000001 0
1.895 0
1.9 0
1.905 0
1.91 0
1.915 0
1.92 0
1.925 0
1.93 0
1.935 0
1.94 0
1.945 0
1.95 0
1.955 0
1.96 0
1.965 0
1.97 0
1.975 0
1.98 0
1.9849999999999999 0
1.99 0
1.995 0
